Score : 81
9|2010-02-09 13:05:10.421|529360|2608||Wei Zhu
9|2010-02-09 14:19:19.802|529591|2886|ok|Baoping Wu||529360
9|2010-02-09 16:19:44.946|529595|2886|good|Baoping Wu|529592|
9|2010-02-09 15:31:37.964|529592|2886|About Niccolò Machiavelli, a diplomat, political philosopher, playwright, and a civi.|Baoping Wu||529360
9|2010-02-09 17:17:12.246|529588|2886|cool|Baoping Wu||529360
9|2010-02-09 16:27:33.879|529593|2886|duh|Baoping Wu||529360
9|2010-02-09 15:08:38.206|529594|3633|right|Jun Wu||529360
9|2010-02-09 13:05:20.777|529590|2886|LOL|Baoping Wu||529360
9|2010-02-09 13:20:53.281|529589|2886|cool|Baoping Wu||529360

Score : 9
9|2010-02-10 01:21:23.008|1076792|3825||Richard Richter


Score : 3
3|2010-02-03 11:17:02.921|1048880|974||Heinz Frank

