2010-11-22T18:20:08.181+0000|4398046513619|34360550658
2010-11-22T18:22:14.916+0000|4398046511470|34360962402
2010-11-22T18:32:00.680+0000|4398046511896|34360207123
2010-11-22T18:38:03.349+0000|4398046513232|17180571844
2010-11-22T18:55:00.268+0000|4398046513645|17180305995
2010-11-22T18:58:54.147+0000|4398046514700|17180736242
2010-11-22T18:59:00.829+0000|2698|34360103809
2010-11-22T18:59:21.497+0000|2199023259109|34360542093
2010-11-22T19:18:03.548+0000|4398046514306|17180424924
2010-11-22T19:28:41.332+0000|4398046513455|25770686511
2010-11-22T19:42:02.101+0000|4398046513138|25769817226
2010-11-22T19:55:43.027+0000|4398046515525|34360373719
2010-11-22T19:56:22.681+0000|3298534884013|34361045962
2010-11-22T20:23:53.166+0000|4398046515146|725672
2010-11-22T20:26:43.839+0000|4398046511470|34360965917
2010-11-22T21:02:23.451+0000|4465|34360807361
2010-11-22T21:22:19.558+0000|1099511629117|34360231362
2010-11-22T21:40:43.733+0000|2199023256035|34360174178
2010-11-22T21:55:51.481+0000|4398046514257|17181208013
2010-11-22T22:21:18.649+0000|4398046511470|725775
2010-11-22T22:39:34.399+0000|4398046514044|34361095603
2010-11-22T22:42:31.309+0000|4398046513192|34360095709
2010-11-22T22:46:18.720+0000|4398046511913|330556
2010-11-22T22:54:49.910+0000|4398046511891|8591351396
2010-11-22T23:12:15.620+0000|3298534884104|34360688157
2010-11-22T23:13:52.502+0000|4398046512509|17180427586
2010-11-22T23:36:07.315+0000|3298534886689|34360807361
2010-11-22T23:37:21.405+0000|1161|34360688157
2010-11-22T23:46:30.395+0000|4398046515146|17180593122
2010-11-22T23:47:06.737+0000|1099511630039|34360231362
2010-11-22T23:59:52.793+0000|4398046515132|17181159106
